"DATE","HOTEL_ID","COUNTRY","HOTEL_STARS","ROOM_PRICE","ROOM_COST","LOS","DTA","BOOKING_DOW","CHECK_IN_DOW"
2019-05-19,107580,"US",3,115.89,104.07,1,0,"Mon","Mon"
2019-05-31,114266,"US",3,96.33,88.03,1,0,"Fri","Fri"
2019-05-18,114266,"US",3,112.04,101.76,1,0,"Sat","Sat"
2019-05-18,114266,"US",3,111.18,101,1,1,"Sat","Sun"
2019-05-21,699378,"US",3,110.02,100,1,0,"Tue","Tue"
2019-05-13,459412,"US",2,209,186,1,17,"Wed","Sat"
2019-05-11,109106,"US",1,78.12,72.1,1,0,"Sat","Sat"
2019-05-25,138227,"US",3,133.95,120.88,1,0,"Sat","Sat"
2019-05-17,231665,"US",2,110,99.97,1,0,"Sat","Sat"
2019-05-26,234400,"US",2,124.21,112.37,1,0,"Sun","Sun"
2019-05-12,431174,"US",2,94.93,86.8,1,14,"Sun","Sun"
2019-05-10,1055797,"US",2,61.95,61.79515,1,0,"Thu","Wed"
2019-05-23,1017555,"US",3,90.43,82.88,1,3,"Thu","Sun"
2019-05-28,377361,"US",3,286.13,252.6,2,0,"Wed","Wed"
2019-05-26,377361,"US",3,115.81,104.98,1,0,"Mon","Mon"
2019-05-28,111721,"US",2,83.9,77.16,1,5,"Wed","Mon"
2019-05-25,595890,"US",2,76.26,70,1,3,"Sun","Wed"
2019-05-20,130291,"US",2,91.95,84.2,1,4,"Mon","Fri"
2019-05-25,124508,"US",3,115.41,104.68,1,28,"Sat","Sat"
2019-05-31,124508,"US",3,106.98,96.92,1,0,"Fri","Fri"
2019-05-20,124508,"US",3,106.35,96.78,1,0,"Mon","Mon"
2019-05-24,893129,"US",2,136.06,122.71,1,9,"Wed","Fri"
2019-05-20,893129,"US",2,103.13,93.98,1,0,"Mon","Mon"
2019-05-18,230880,"US",3,171.52,153.56,1,0,"Sun","Sat"
2019-05-25,230880,"US",3,143.66,128.51,1,0,"Sat","Sat"
2019-05-25,138797,"US",2,103.73,94.5,1,28,"Sat","Sat"
2019-05-25,138797,"US",2,109.75,99.75,1,28,"Sat","Sat"
2019-05-25,350847,"US",2,153.6,130.78,1,0,"Sat","Sat"
2019-05-19,117575,"US",3,90.86,82.72,1,7,"Mon","Mon"
2019-05-25,543858,"US",3,130.96,118.27,1,0,"Sun","Sun"
2019-05-24,279181,"US",2,134.05,120.95,1,2,"Fri","Sun"
2019-05-28,279181,"US",2,170.87,152.97,1,0,"Tue","Tue"
2019-05-28,914308,"US",2,132.53,114.64,1,0,"Tue","Tue"
2019-05-28,131456,"US",3,96.26,87.97,1,0,"Wed","Wed"
2019-05-29,126798,"US",2,116.53,104.09,1,2,"Wed","Fri"
2019-05-23,243627,"US",2,128.35,117.72,1,2,"Thu","Sat"
2019-05-20,240958,"US",2,150.24,135.01,1,0,"Mon","Mon"
2019-05-26,106296,"US",3,152.38,146.52806,1,0,"Sun","Sun"
2019-05-28,106916,"US",2,250.03,221.49,2,2,"Wed","Fri"
2019-05-26,106916,"US",2,119.71,108.44,1,0,"Sun","Sun"
2019-05-26,106916,"US",2,126.65,114.49,1,0,"Sun","Sun"
2019-05-17,119793,"US",4,77.57,71.62,1,0,"Fri","Fri"
2019-05-24,119793,"US",4,81.84,70.97,1,2,"Sat","Mon"
2019-05-29,119793,"US",4,97.41,88.97,1,0,"Wed","Wed"
2019-05-29,119793,"US",4,81.84,70.97,1,2,"Thu","Sat"
2019-05-31,119793,"US",4,104.97,87.97,1,0,"Fri","Fri"
2019-05-30,119793,"US",4,107.37,87.97,1,2,"Thu","Sat"
2019-05-23,119793,"US",4,105.31,88.97,1,0,"Fri","Fri"
2019-05-15,197100,"US",3,120.61,109.23,1,1,"Fri","Sat"
2019-05-21,197100,"US",3,356.43,313,3,3,"Tue","Fri"
2019-05-17,125106,"US",3,401.44,288.48,4,2,"Sat","Mon"
2019-05-22,122190,"US",2,83.42,76.74,1,0,"Thu","Wed"
2019-05-13,112569,"US",2,65.4,60.97,1,0,"Mon","Mon"
2019-05-14,428216,"US",2,123.32,111.63,1,0,"Tue","Tue"
2019-05-11,199566,"US",2,87.46,77.61,1,0,"Sun","Sat"
2019-05-18,221306,"US",2,127.21,114.97,1,0,"Sat","Sat"
2019-05-12,221306,"US",2,74.54,68.97,1,0,"Mon","Mon"
2019-05-12,221306,"US",2,86.72,68.97,1,0,"Sun","Sun"
2019-05-19,221306,"US",2,68.98,64,1,7,"Sun","Sun"
2019-05-14,195992,"US",2,184.67,164.99,1,3,"Tue","Fri"
2019-05-27,554085,"US",3,104.24,94.06,1,0,"Mon","Mon"
2019-05-30,554085,"US",3,114.63,103.03,1,0,"Thu","Thu"
2019-05-30,270603,"US",3,133.9,106.97,1,0,"Thu","Thu"
2019-05-25,142204,"US",2,41.52,40.03,1,3,"Sat","Tue"
2019-05-26,142204,"US",2,63.1,58.96,1,0,"Sun","Sun"
2019-05-26,142204,"US",2,50.64,47.69,1,0,"Sun","Sun"
2019-05-31,212128,"US",3,230.69,204.75,2,0,"Fri","Fri"
2019-05-22,120147,"US",4,182.18,163.11,1,0,"Thu","Thu"
2019-05-29,120147,"US",4,233.13,206.98,2,0,"Wed","Wed"
2019-05-22,120147,"US",4,303.74,267.87,2,2,"Wed","Fri"
2019-05-28,120147,"US",4,277.57,206.98,2,1,"Tue","Wed"
2019-05-30,120147,"US",4,175.59,130.97,1,1,"Thu","Fri"
2019-05-16,120147,"US",4,337.4,244.98,2,0,"Thu","Thu"
2019-05-23,120147,"US",4,202.07,193.08759,1,0,"Fri","Thu"
2019-05-10,120147,"US",4,203.13,181,1,0,"Sat","Sat"
2019-05-22,263232,"US",2,106.01,96.48,1,1,"Wed","Thu"
2019-05-17,659207,"US",3,178.32,159.44,1,2,"Sat","Mon"
2019-05-17,659207,"US",3,165.07,147.93,1,0,"Sat","Fri"
2019-05-17,470796,"US",2,80.6,73.48,1,7,"Sat","Sat"
2019-05-13,121599,"US",2,176.88,158.19,1,3,"Tue","Fri"
2019-05-13,255141,"US",2,236.24,209.63,2,3,"Tue","Fri"
2019-05-21,596320,"US",4,235.49,209,1,2,"Wed","Fri"
2019-05-24,596320,"US",4,238.65,211.74,1,0,"Sat","Sat"
2019-05-25,120683,"US",4,203.96,181.16,1,0,"Sat","Sat"
2019-05-25,120683,"US",4,165.17,148,1,1,"Sat","Sun"
2019-05-18,136262,"US",2,72.24,65.08,1,0,"Sat","Sat"
2019-05-22,136262,"US",2,81.93,73.32,1,0,"Wed","Wed"
2019-05-10,136262,"US",2,72.24,65.08,1,0,"Sat","Fri"
2019-05-16,136255,"US",2,351.53,308.61,3,41,"Thu","Wed"
2019-05-21,194306,"US",2,108.48,98.64,1,0,"Tue","Tue"
2019-05-27,219379,"US",3,112.21,101.84,1,0,"Mon","Mon"
2019-05-11,124440,"US",3,131.08,114.41,1,0,"Sun","Sat"
2019-05-31,124440,"US",3,154.83,139,1,1,"Fri","Sat"
2019-05-24,122470,"US",2,271.5,240,2,0,"Sat","Fri"
2019-05-11,654823,"US",3,134.12,121,1,0,"Sun","Sun"
2019-05-30,654823,"US",3,171.58,153.59,1,0,"Fri","Fri"
2019-05-26,654823,"US",3,107.26,97.58,1,0,"Sun","Sun"
2019-05-24,132907,"US",2,85.41,77.64,1,0,"Sat","Sat"
2019-05-21,132907,"US",2,88.51,81.32,1,0,"Tue","Tue"
2019-05-12,132907,"US",2,81.42,74.56,1,0,"Sun","Sun"
2019-05-12,132907,"US",2,80.92,74.56,1,13,"Mon","Sun"
2019-05-11,132907,"US",2,84.61,77.79,1,0,"Sat","Sat"
2019-05-11,132907,"US",2,85.75,77.79,1,0,"Sat","Sat"
2019-05-31,132907,"US",2,64.24,59.96,1,0,"Sun","Sun"
2019-05-31,132907,"US",2,71.1,65.97,1,0,"Sat","Sat"
2019-05-31,132907,"US",2,267.91,237,4,0,"Mon","Mon"
2019-05-31,132907,"US",2,100.52,91.7,1,0,"Fri","Fri"
2019-05-19,132907,"US",2,81.65,75.2,1,0,"Sun","Sun"
2019-05-27,132907,"US",2,76.85,71,1,0,"Mon","Mon"
2019-05-27,132907,"US",2,71.1,65.97,1,0,"Thu","Thu"
2019-05-27,132907,"US",2,71.1,65.97,1,1,"Tue","Wed"
2019-05-27,132907,"US",2,71.1,65.97,1,0,"Wed","Wed"
2019-05-27,132907,"US",2,76.85,71,1,1,"Tue","Wed"
2019-05-10,132907,"US",2,88.64,77.79,1,0,"Fri","Fri"
2019-05-24,600058,"US",2,97.05,88.08,1,0,"Fri","Fri"
2019-05-15,256429,"US",4,145.68,131.05,1,10,"Thu","Sun"
2019-05-19,256429,"US",4,388.51,340.19,2,12,"Sun","Fri"
2019-05-23,212041,"US",2,92.85,85,1,2,"Fri","Sun"
2019-05-17,134074,"US",3,99.51,88.11,1,1,"Fri","Sat"
2019-05-14,163425,"US",2,178.9,159.92,1,36,"Tue","Wed"
2019-05-25,335743,"US",2,40.8,39.4,1,1,"Sat","Sun"
2019-05-24,260011,"US",2,117.85,106.82,1,1,"Fri","Sat"
2019-05-24,260011,"US",2,117.85,106.82,1,0,"Fri","Fri"
2019-05-09,340013,"CA",3,186.93,167,1,59,"Fri","Mon"
2019-05-27,340013,"CA",3,410.15,359.04,2,88,"Mon","Fri"
2019-05-27,340013,"CA",3,410.15,359.04,2,88,"Mon","Fri"
2019-05-12,232130,"US",2,70.74,70.03138,1,0,"Sun","Sun"
2019-05-22,232130,"US",2,64.99,64.64363,1,0,"Thu","Wed"
2019-05-14,117032,"US",2,64.68,59,1,0,"Wed","Tue"
2019-05-31,117032,"US",2,182.02,174.48676,2,0,"Fri","Fri"
2019-05-28,117032,"US",2,58.33,54,1,0,"Wed","Tue"
2019-05-24,201226,"US",2,61.17,57.26,1,1,"Sat","Sun"
2019-05-31,201226,"US",2,65.9,61.41,1,3,"Fri","Mon"
2019-05-31,201226,"US",2,65.9,61.41,1,3,"Fri","Mon"
2019-05-28,201226,"US",2,59.83,53.11,1,0,"Tue","Tue"
2019-05-26,201226,"US",2,69.83,64.85,1,0,"Sun","Sun"
2019-05-20,201226,"US",2,59.83,56,1,0,"Tue","Mon"
2019-05-26,123426,"US",3,131.46,113.93,1,0,"Mon","Mon"
2019-05-25,221037,"US",3,159.38,142.58,1,0,"Sat","Sat"
2019-05-18,265209,"US",2,56.97,53.58,1,0,"Sat","Sat"
2019-05-19,151859,"US",4,218.6,195,1,0,"Sun","Sun"
2019-05-27,151859,"US",4,236.57,208.41,1,22,"Tue","Wed"
2019-05-25,151859,"US",4,286,254,1,14,"Sat","Sat"
2019-05-25,151859,"US",4,226.24,201,1,0,"Sat","Sat"
2019-05-25,151859,"US",4,331.85,292,2,0,"Sat","Sat"
2019-05-19,151859,"US",4,199.68,178,1,0,"Sun","Sun"
2019-05-26,151859,"US",4,234.8,208.41,1,26,"Sun","Fri"
2019-05-16,151859,"US",4,406.6,355.96,2,0,"Thu","Thu"
2019-05-20,108222,"US",3,172,153.98,2,4,"Tue","Sat"
2019-05-10,108222,"US",3,81.58,72.38,1,15,"Sat","Sun"
2019-05-13,263301,"US",2,230.54,204.71,2,0,"Mon","Mon"
2019-05-14,192466,"US",3,87.71,80.49,1,4,"Tue","Sat"
2019-05-17,192466,"US",3,178.79,159.85,2,0,"Fri","Fri"
2019-05-25,192466,"US",3,87.65,80.44,1,0,"Sun","Sun"
2019-05-18,273004,"US",2,162.83,146,1,0,"Sat","Sat"
2019-05-24,312689,"US",2,99.18,90.53,1,3,"Fri","Mon"
2019-05-21,126501,"US",1,253.6,241.3712,3,0,"Tue","Tue"
2019-05-21,126501,"US",1,170.8,163.7876,2,1,"Tue","Wed"
2019-05-21,126501,"US",1,85.41,77.98,1,0,"Tue","Tue"
2019-05-23,126501,"US",1,95.38,86.64,1,0,"Thu","Thu"
2019-05-15,141215,"US",4,116.87,105.97,1,3,"Wed","Sat"
2019-05-24,803427,"US",3,144.31,129.83,1,0,"Fri","Fri"
2019-05-23,120201,"US",3,282.89,249.73,2,0,"Fri","Fri"
2019-05-19,152012,"US",2,75.69,69.96,1,0,"Sun","Sun"
2019-05-11,152012,"US",2,85.8,78.81,1,0,"Sun","Sat"
2019-05-23,108263,"CA",3,262.26,232.22,2,1,"Fri","Sat"
2019-05-17,254422,"US",2,87.12,79.98,1,18,"Sat","Wed"
2019-05-18,254422,"US",2,181.09,161.84,2,11,"Mon","Fri"
2019-05-21,254422,"US",2,176.64,157.98,2,0,"Wed","Wed"
2019-05-22,254422,"US",2,100.87,92,1,1,"Thu","Fri"
2019-05-22,254422,"US",2,100.76,87.35,1,1,"Thu","Fri"
2019-05-11,254422,"US",2,159.3,142.92,1,0,"Sat","Sat"
